"strata","n","armean","sd","geomean","var","outvar","P5%","P10%","P25%","P50%","P75%","P90%","P95%"
"Female",42,0.806190476190476,0.700282007239357,0.594833702778245,"sex","creatinine_gperL",0.1705,0.25,0.3025,0.63,1.09,1.609,1.735
"Male",58,0.891724137931034,0.531132976150518,0.699386629077702,"sex","creatinine_gperL",0.167,0.229,0.4,0.83,1.3675,1.546,1.735
